Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,16,63891,6010367,Kings,Corcoran Joint Unified,Mark Twain Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,4,5,520,389,74.80%,409,78.70%,520,389,74.80%,409,78.70%,Y
2015-2016,16,63917,110981,Kings,Hanford Elementary,Hamilton Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,493,348,70.60%,411,83.40%,480,337,70.20%,399,83.10%,Y
2015-2016,16,63917,6010391,Kings,Hanford Elementary,Jefferson Charter Academy,Elementary School District,Elementary Schools (Public),Traditional,None,Y,1637,Locally funded,N,K,8,401,127,31.70%,180,44.90%,401,127,31.70%,180,44.90%,Y
2015-2016,16,63917,6010409,Kings,Hanford Elementary,Lee Richmond Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,451,367,81.40%,408,90.50%,443,361,81.50%,401,90.50%,Y
2015-2016,16,63917,6010417,Kings,Hanford Elementary,Lincoln Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,465,429,92.30%,456,98.10%,458,422,92.10%,449,98.00%,Y
2015-2016,16,63917,6010425,Kings,Hanford Elementary,Monroe Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,727,465,64.00%,549,75.50%,717,458,63.90%,541,75.50%,Y
2015-2016,16,63917,6010433,Kings,Hanford Elementary,Roosevelt Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,568,464,81.70%,535,94.20%,563,460,81.70%,530,94.10%,Y
2015-2016,16,63917,6010458,Kings,Hanford Elementary,Woodrow Wilson Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,565,336,59.50%,417,73.80%,565,336,59.50%,417,73.80%,Y
2015-2016,16,63917,6108815,Kings,Hanford Elementary,George Washington Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,517,369,71.40%,410,79.30%,506,359,70.90%,399,78.90%,Y
2015-2016,16,63917,6112379,Kings,Hanford Elementary,John F. Kennedy Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,557,413,74.10%,472,84.70%,557,413,74.10%,472,84.70%,Y
2015-2016,16,63917,6113609,Kings,Hanford Elementary,Martin Luther King Jr. Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,626,453,72.40%,554,88.50%,613,447,72.90%,545,88.90%,Y
2015-2016,16,63917,6118459,Kings,Hanford Elementary,Hanford Elementary Community Day,Elementary School District,District Community Day Schools,Community Day School,None,N,,,N,K,8,19,17,89.50%,17,89.50%,19,17,89.50%,17,89.50%,Y
2015-2016,16,63917,6118798,Kings,Hanford Elementary,Joseph M. Simas,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,501,196,39.10%,264,52.70%,495,193,39.00%,261,52.70%,Y
2015-2016,16,63925,118919,Kings,Hanford Joint Union High,Sierra Pacific High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,761,350,46.00%,423,55.60%,740,337,45.50%,408,55.10%,Y
2015-2016,16,63925,1630060,Kings,Hanford Joint Union High,Hanford Night (Continuation),High School District,Continuation High Schools,Continuation School,None,N,,,N,10,12,28,16,57.10%,19,67.90%,20,10,50.00%,12,60.00%,Y
2015-2016,16,63925,1630151,Kings,Hanford Joint Union High,Hanford Community Day,High School District,District Community Day Schools,Community Day School,None,N,,,N,9,12,7,6,85.70%,6,85.70%,7,6,85.70%,6,85.70%,Y
2015-2016,16,63925,1630169,Kings,Hanford Joint Union High,Hanford West High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1380,652,47.20%,786,57.00%,1337,632,47.30%,763,57.10%,Y
2015-2016,16,63925,1634245,Kings,Hanford Joint Union High,Earl F. Johnson High (Continuation),High School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,116,74,63.80%,86,74.10%,97,62,63.90%,73,75.30%,Y
2015-2016,16,63925,1634401,Kings,Hanford Joint Union High,Hanford High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1480,800,54.10%,923,62.40%,1432,776,54.20%,894,62.40%,Y
