Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,19,64881,6021612,Los Angeles,Pasadena Unified,Hamilton Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,590,206,34.90%,312,52.90%,590,206,34.90%,312,52.90%,Y
2015-2016,19,64881,6021620,Los Angeles,Pasadena Unified,Jackson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,497,353,71.00%,398,80.10%,497,353,71.00%,398,80.10%,Y
2015-2016,19,64881,6021638,Los Angeles,Pasadena Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,385,300,77.90%,350,90.90%,374,294,78.60%,340,90.90%,Y
2015-2016,19,64881,6021679,Los Angeles,Pasadena Unified,Longfellow (Henry W.) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,527,378,71.70%,435,82.50%,513,371,72.30%,426,83.00%,Y
2015-2016,19,64881,6021687,Los Angeles,Pasadena Unified,Madison Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,489,421,86.10%,463,94.70%,480,416,86.70%,456,95.00%,Y
2015-2016,19,64881,6021711,Los Angeles,Pasadena Unified,Roosevelt,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,346,291,84.10%,318,91.90%,346,291,84.10%,318,91.90%,Y
2015-2016,19,64881,6021729,Los Angeles,Pasadena Unified,San Rafael Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,454,120,26.40%,163,35.90%,454,120,26.40%,163,35.90%,Y
2015-2016,19,64881,6021737,Los Angeles,Pasadena Unified,Sierra Madre Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,666,107,16.10%,135,20.30%,666,107,16.10%,135,20.30%,Y
2015-2016,19,64881,6021752,Los Angeles,Pasadena Unified,Washington Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,527,413,78.40%,456,86.50%,527,413,78.40%,456,86.50%,Y
2015-2016,19,64881,6021760,Los Angeles,Pasadena Unified,Daniel Webster,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,467,234,50.10%,285,61.00%,467,234,50.10%,285,61.00%,Y
2015-2016,19,64881,6021778,Los Angeles,Pasadena Unified,Willard Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,640,369,57.70%,442,69.10%,631,366,58.00%,438,69.40%,Y
2015-2016,19,64881,6058465,Los Angeles,Pasadena Unified,Charles W. Eliot Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,440,333,75.70%,369,83.90%,440,333,75.70%,369,83.90%,Y
2015-2016,19,64881,6058499,Los Angeles,Pasadena Unified,Woodrow Wilson Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,544,335,61.60%,419,77.00%,544,335,61.60%,419,77.00%,Y
2015-2016,19,64881,6119549,Los Angeles,Pasadena Unified,Washington Accelerated Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,588,476,81.00%,514,87.40%,574,468,81.50%,506,88.20%,Y
2015-2016,19,64881,6120265,Los Angeles,Pasadena Unified,McKinley,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,965,519,53.80%,630,65.30%,954,517,54.20%,628,65.80%,Y
2015-2016,19,64907,1,Los Angeles,Pomona Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,62,18,29.00%,18,29.00%,46,17,37.00%,17,37.00%,Y
2015-2016,19,64907,111047,Los Angeles,Pomona Unified,Lopez Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,641,569,88.80%,621,96.90%,631,561,88.90%,611,96.80%,Y
2015-2016,19,64907,111054,Los Angeles,Pomona Unified,Cortez Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,696,478,68.70%,582,83.60%,696,478,68.70%,582,83.60%,Y
2015-2016,19,64907,115170,Los Angeles,Pomona Unified,School of Extended Educational Options,Unified School District,High Schools (Public),Traditional,None,Y,914,Locally funded,N,7,12,266,181,68.00%,189,71.10%,183,132,72.10%,138,75.40%,Y
2015-2016,19,64907,1933175,Los Angeles,Pomona Unified,Ganesha High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1059,800,75.50%,932,88.00%,1018,768,75.40%,897,88.10%,Y
2015-2016,19,64907,1933324,Los Angeles,Pomona Unified,Garey High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1821,1395,76.60%,1598,87.80%,1665,1306,78.40%,1492,89.60%,Y
2015-2016,19,64907,1936772,Los Angeles,Pomona Unified,Park West High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,236,184,78.00%,192,81.40%,168,133,79.20%,138,82.10%,Y
2015-2016,19,64907,1937028,Los Angeles,Pomona Unified,Pomona High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1340,980,73.10%,1149,85.70%,1306,958,73.40%,1124,86.10%,Y
2015-2016,19,64907,1995547,Los Angeles,Pomona Unified,Pomona Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,7,10,17,14,82.40%,14,82.40%,14,12,85.70%,12,85.70%,Y
2015-2016,19,64907,1995901,Los Angeles,Pomona Unified,Diamond Ranch High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1694,711,42.00%,919,54.30%,1650,690,41.80%,898,54.40%,Y
2015-2016,19,64907,1996495,Los Angeles,Pomona Unified,Village Academy High School at Indian Hill,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,325,245,75.40%,290,89.20%,319,241,75.50%,285,89.30%,Y
2015-2016,19,64907,1996685,Los Angeles,Pomona Unified,Pomona Community Day,Unified School District,District Community Day Schools,Community Day School,None,N,,,N,7,12,14,12,85.70%,12,85.70%,14,12,85.70%,12,85.70%,Y
2015-2016,19,64907,6021786,Los Angeles,Pomona Unified,Alcott Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,934,798,85.40%,890,95.30%,934,798,85.40%,890,95.30%,Y
2015-2016,19,64907,6021794,Los Angeles,Pomona Unified,Allison Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,293,218,74.40%,260,88.70%,293,218,74.40%,260,88.70%,Y
2015-2016,19,64907,6021802,Los Angeles,Pomona Unified,Arroyo Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,568,500,88.00%,541,95.20%,562,494,87.90%,535,95.20%,Y
2015-2016,19,64907,6021828,Los Angeles,Pomona Unified,Diamond Point Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,342,171,50.00%,211,61.70%,340,170,50.00%,210,61.80%,Y
2015-2016,19,64907,6021836,Los Angeles,Pomona Unified,Golden Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,378,195,51.60%,246,65.10%,378,195,51.60%,246,65.10%,Y
2015-2016,19,64907,6021851,Los Angeles,Pomona Unified,Harrison Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,378,286,75.70%,336,88.90%,378,286,75.70%,336,88.90%,Y
2015-2016,19,64907,6021869,Los Angeles,Pomona Unified,Kellogg Polytechnic Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,400,295,73.80%,350,87.50%,400,295,73.80%,350,87.50%,Y
2015-2016,19,64907,6021877,Los Angeles,Pomona Unified,Kingsley Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,5,615,549,89.30%,584,95.00%,607,544,89.60%,579,95.40%,Y
2015-2016,19,64907,6021885,Los Angeles,Pomona Unified,Lexington Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,632,524,82.90%,595,94.10%,625,519,83.00%,589,94.20%,Y
2015-2016,19,64907,6021893,Los Angeles,Pomona Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,438,366,83.60%,409,93.40%,438,366,83.60%,409,93.40%,Y
2015-2016,19,64907,6021901,Los Angeles,Pomona Unified,Madison Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,578,497,86.00%,554,95.80%,573,492,85.90%,549,95.80%,Y
2015-2016,19,64907,6021919,Los Angeles,Pomona Unified,Montvue Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,264,226,85.60%,251,95.10%,264,226,85.60%,251,95.10%,Y
2015-2016,19,64907,6021927,Los Angeles,Pomona Unified,Barfield Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,348,297,85.30%,324,93.10%,347,296,85.30%,323,93.10%,Y
2015-2016,19,64907,6021935,Los Angeles,Pomona Unified,Philadelphia Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,742,637,85.80%,700,94.30%,730,628,86.00%,690,94.50%,Y
2015-2016,19,64907,6021943,Los Angeles,Pomona Unified,Roosevelt Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,5,631,565,89.50%,605,95.90%,631,565,89.50%,605,95.90%,Y
2015-2016,19,64907,6021950,Los Angeles,Pomona Unified,San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,521,415,79.70%,469,90.00%,513,408,79.50%,461,89.90%,Y
2015-2016,19,64907,6021968,Los Angeles,Pomona Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,5,670,589,87.90%,646,96.40%,670,589,87.90%,646,96.40%,Y
2015-2016,19,64907,6021976,Los Angeles,Pomona Unified,Westmont Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,360,282,78.30%,325,90.30%,360,282,78.30%,325,90.30%,Y
2015-2016,19,64907,6021984,Los Angeles,Pomona Unified,La Verne Science and Technology Charter,Unified School District,Elementary Schools (Public),Traditional,None,Y,1578,Locally funded,N,P,6,265,190,71.70%,214,80.80%,265,190,71.70%,214,80.80%,Y
2015-2016,19,64907,6058507,Los Angeles,Pomona Unified,Emerson Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,652,559,85.70%,613,94.00%,652,559,85.70%,613,94.00%,Y
2015-2016,19,64907,6058515,Los Angeles,Pomona Unified,Marshall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,492,407,82.70%,457,92.90%,492,407,82.70%,457,92.90%,Y
2015-2016,19,64907,6058523,Los Angeles,Pomona Unified,Simons Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,802,660,82.30%,749,93.40%,802,660,82.30%,749,93.40%,Y
2015-2016,19,64907,6061634,Los Angeles,Pomona Unified,Fremont Academy of Engineering and Design,Unified School District,High Schools (Public),Traditional,None,N,,,N,7,12,871,714,82.00%,789,90.60%,862,708,82.10%,782,90.70%,Y
2015-2016,19,64907,6061642,Los Angeles,Pomona Unified,Palomares Academy of Health Science,Unified School District,High Schools (Public),Traditional,None,N,,,N,7,12,436,334,76.60%,385,88.30%,432,331,76.60%,382,88.40%,Y
2015-2016,19,64907,6066781,Los Angeles,Pomona Unified,Lorbeer Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,730,313,42.90%,406,55.60%,730,313,42.90%,406,55.60%,Y
2015-2016,19,64907,6068787,Los Angeles,Pomona Unified,Armstrong Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,406,185,45.60%,220,54.20%,389,181,46.50%,216,55.50%,Y
2015-2016,19,64907,6101133,Los Angeles,Pomona Unified,Decker Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,541,283,52.30%,344,63.60%,522,277,53.10%,336,64.40%,Y
2015-2016,19,64907,6108914,Los Angeles,Pomona Unified,Vejar Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,929,789,84.90%,868,93.40%,925,785,84.90%,864,93.40%,Y
2015-2016,19,64907,6108922,Los Angeles,Pomona Unified,Ranch Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,485,165,34.00%,208,42.90%,483,163,33.70%,206,42.70%,Y
2015-2016,19,64907,6112437,Los Angeles,Pomona Unified,San Antonio Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,5,473,421,89.00%,461,97.50%,473,421,89.00%,461,97.50%,Y
2015-2016,19,64907,6120653,Los Angeles,Pomona Unified,Pantera Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,371,114,30.70%,138,37.20%,371,114,30.70%,138,37.20%,Y
2015-2016,19,64931,6022164,Los Angeles,Rosemead Elementary,Emma W. Shuey Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,516,290,56.20%,386,74.80%,516,290,56.20%,386,74.80%,Y
2015-2016,19,64931,6022172,Los Angeles,Rosemead Elementary,Encinita Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,388,268,69.10%,328,84.50%,379,262,69.10%,320,84.40%,Y
2015-2016,19,64931,6022180,Los Angeles,Rosemead Elementary,Mildred B. Janson Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,601,358,59.60%,494,82.20%,589,351,59.60%,484,82.20%,Y
2015-2016,19,64931,6022198,Los Angeles,Rosemead Elementary,Muscatel Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,654,400,61.20%,526,80.40%,654,400,61.20%,526,80.40%,Y
2015-2016,19,64931,6022206,Los Angeles,Rosemead Elementary,Savannah Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,P,6,452,292,64.60%,375,83.00%,452,292,64.60%,375,83.00%,Y
2015-2016,19,64964,1,Los Angeles,San Marino Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,9,0,0.00%,0,0.00%,6,0,0.00%,0,0.00%,Y
2015-2016,19,64964,1937754,Los Angeles,San Marino Unified,San Marino High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1200,30,2.50%,44,3.70%,1149,30,2.60%,44,3.80%,Y
2015-2016,19,64964,6022495,Los Angeles,San Marino Unified,Carver Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,586,10,1.70%,15,2.60%,579,10,1.70%,15,2.60%,Y
2015-2016,19,64964,6022503,Los Angeles,San Marino Unified,Huntington Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,780,30,3.80%,38,4.90%,780,30,3.80%,38,4.90%,Y
2015-2016,19,64964,6022529,Los Angeles,San Marino Unified,Valentine Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,561,11,2.00%,12,2.10%,552,11,2.00%,12,2.20%,Y
2015-2016,19,64980,1,Los Angeles,Santa Monica-Malibu Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,31,1,3.20%,1,3.20%,28,1,3.60%,1,3.60%,Y
2015-2016,19,64980,1933373,Los Angeles,Santa Monica-Malibu Unified,Olympic High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,91,42,46.20%,44,48.40%,65,31,47.70%,33,50.80%,Y
2015-2016,19,64980,1938000,Los Angeles,Santa Monica-Malibu Unified,Santa Monica High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2950,684,23.20%,846,28.70%,2846,655,23.00%,813,28.60%,Y
2015-2016,19,64980,1995737,Los Angeles,Santa Monica-Malibu Unified,Malibu High,Unified School District,High Schools (Public),Traditional,None,N,,,N,6,12,1106,102,9.20%,128,11.60%,1077,97,9.00%,122,11.30%,Y
2015-2016,19,64980,6022537,Los Angeles,Santa Monica-Malibu Unified,Juan Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,195,29,14.90%,38,19.50%,195,29,14.90%,38,19.50%,Y
2015-2016,19,64980,6022545,Los Angeles,Santa Monica-Malibu Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,433,170,39.30%,209,48.30%,433,170,39.30%,209,48.30%,Y
2015-2016,19,64980,6022552,Los Angeles,Santa Monica-Malibu Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,831,41,4.90%,48,5.80%,831,41,4.90%,48,5.80%,Y
2015-2016,19,64980,6022560,Los Angeles,Santa Monica-Malibu Unified,Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,628,143,22.80%,189,30.10%,628,143,22.80%,189,30.10%,Y
2015-2016,19,64980,6022578,Los Angeles,Santa Monica-Malibu Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,265,106,40.00%,126,47.50%,265,106,40.00%,126,47.50%,Y
2015-2016,19,64980,6022594,Los Angeles,Santa Monica-Malibu Unified,McKinley Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,512,148,28.90%,191,37.30%,488,141,28.90%,183,37.50%,Y
2015-2016,19,64980,6022602,Los Angeles,Santa Monica-Malibu Unified,Point Dume Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,195,13,6.70%,13,6.70%,195,13,6.70%,13,6.70%,Y
2015-2016,19,64980,6022610,Los Angeles,Santa Monica-Malibu Unified,Roosevelt Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,798,74,9.30%,97,12.20%,798,74,9.30%,97,12.20%,Y
2015-2016,19,64980,6022636,Los Angeles,Santa Monica-Malibu Unified,Webster Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,292,19,6.50%,20,6.80%,279,17,6.10%,18,6.50%,Y
2015-2016,19,64980,6022644,Los Angeles,Santa Monica-Malibu Unified,Will Rogers Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,563,216,38.40%,272,48.30%,537,208,38.70%,261,48.60%,Y
2015-2016,19,64980,6058531,Los Angeles,Santa Monica-Malibu Unified,John Adams Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1065,369,34.60%,461,43.30%,1065,369,34.60%,461,43.30%,Y
2015-2016,19,64980,6061659,Los Angeles,Santa Monica-Malibu Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1067,153,14.30%,195,18.30%,1067,153,14.30%,195,18.30%,Y
2015-2016,19,64980,6093538,Los Angeles,Santa Monica-Malibu Unified,Santa Monica Alternative (K-8),Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,8,227,8,3.50%,11,4.80%,227,8,3.50%,11,4.80%,Y
2015-2016,19,64998,1,Los Angeles,Saugus Union,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2015-2016,19,64998,108597,Los Angeles,Saugus Union,Tesoro del Valle Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,628,40,6.40%,75,11.90%,617,39,6.30%,74,12.00%,Y
2015-2016,19,64998,119230,Los Angeles,Saugus Union,West Creek Academy,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,933,28,3.00%,41,4.40%,916,27,2.90%,40,4.40%,Y
2015-2016,19,64998,6022651,Los Angeles,Saugus Union,Cedarcreek Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,505,338,66.90%,388,76.80%,487,324,66.50%,374,76.80%,Y
2015-2016,19,64998,6022669,Los Angeles,Saugus Union,Emblem Academy,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,695,67,9.60%,77,11.10%,679,67,9.90%,77,11.30%,Y
